Scenario - phase2_matchingPennies_algorithm1
Logfile written - 11/10/2019 10:30:27

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

873	131	Nothing	101	2800885	0	1			0		false_alarm	635
873	131	Response	3	2802449	1564	5
873	131	Port Input	4	2802449	1564	5
873	132	Nothing	19	2834277	0	1			0		other	0
873	133	Nothing	99	2851146	0	1			0		other	0
873	134	Nothing	51	2851270	0	1			0		other	0
873	134	Response	3	2852746	1476	6
873	134	Port Input	4	2852746	1476	6
873	135	Nothing	101	2852784	0	1			0		false_alarm	643
873	135	Response	3	2854067	1283	6
873	135	Port Input	4	2854067	1283	6
873	136	Nothing	19	2886240	0	1			0		other	0
873	137	Nothing	99	2919385	0	1			0		other	0
873	138	Nothing	52	2919547	0	1			0		other	0
873	138	Response	3	2921074	1527	6
873	138	Port Input	4	2921074	1527	6
873	139	Nothing	111	2921113	0	1			0		false_alarm	651
873	139	Response	3	2921497	384	5
873	139	Port Input	4	2921497	384	5
873	139	Response	3	2922513	1400	6
873	139	Port Input	4	2922513	1400	6
873	139	Response	3	2923666	2553	6
873	139	Port Input	4	2923666	2553	6
873	139	Response	3	2924597	3484	4
873	139	Port Input	4	2924597	3484	4
873	139	Response	3	2925819	4706	6
873	139	Port Input	4	2925819	4706	6
